title,word,score
모탈 컴뱃,자기,1.197447821719845
모탈 컴뱃,혈통,1.197447821719845
모탈 컴뱃,전투,1.197447821719845
모탈 컴뱃,토너먼트,1.197447821719845
모탈 컴뱃,아웃,1.197447821719845
모탈 컴뱃,참가,1.197447821719845
모탈 컴뱃,영,1.197447821719845
모탈 컴뱃,콜,1.197447821719845
모탈 컴뱃,선수,1.197447821719845
모탈 컴뱃,격투,1.197447821719845
모탈 컴뱃,챔피언,1.197447821719845
모탈 컴뱃,혈전,1.197447821719845
모탈 컴뱃,대전,1.197447821719845
모탈 컴뱃,지구의,1.197447821719845
더 수어사이드 스쿼드,다,1.197447821719845
더 수어사이드 스쿼드,팀워크,1.197447821719845
더 수어사이드 스쿼드,불가능,1.197447821719845
더 수어사이드 스쿼드,작전,1.197447821719845
