title,year,country,genres,time,new_genres
빛나는 물체 따라가기,2018,한국,드라마/단편,20분,드라마
산책가,2009,한국,드라마/애니메이션/단편,9분,애니메이션
헬로 스트레인저,2015,한국,드라마,20분,코미디
Can I Borrow a Light,2009,한국,드라마,7분,정보없음
모두가 외로운 별,2006,한국,애니메이션/단편,10분,정보없음
지금 당장 유학을 가야해!,2014,한국,코미디/단편,8분,한국
How Do I Say,2015,한국,드라마/단편,22분,한국
The External World,2010,독일,애니메이션,15분,애니메이션
Ammonite,2020,"영국,호주,미국",드라마/로맨스,1시간 58분,드라마
Double King,2017,호주,애니메이션/단편,10분,애니메이션
Us Again,2021,미국,가족/단편/애니메이션,7분,애니메이션
숙녀들의 하룻밤,2011,한국,애니메이션/단편,18분,애니메이션
잘 되길 바라,2010,한국,드라마,20분,한국
BLUE RUIN,2013,미국,스릴러,1시간 30분,스릴러
Love Is Protein,2008,한국,애니메이션/드라마/코미디,24분,애니메이션
LIFTED,2006,미국,애니메이션,5분,정보없음
돼룩돼룩,2018,한국,애니메이션/코미디/단편,3분,정보없음
Se rokh,2018,"이란,미국",드라마,1시간 40분,드라마
Raya and the Last Dragon,2021,미국,애니메이션/액션/모험/코미디/가족/판타지,1시간 54분,애니메이션
Minari,2020,미국,드라마,1시간 56분,드라마
Smash and Grab,2019,미국,애니메이션/단편/액션/모험/가족/SF,8분,다큐멘터리
Wind,2019,미국,애니메이션/단편/모험,8분,정보없음
Float,2019,미국,가족/단편/애니메이션,7분,정보없음
The Fantastic Flying Books of Mr. Morris Lessmore,2010,미국,애니메이션/가족,15분,애니메이션
The Hurt Locker,2008,미국,드라마/스릴러/전쟁,2시간 10분,전쟁
언니가 죽었다,2018,한국,판타지/드라마,25분,드라마
We Made t,2016,한국,드라마,36분,정보없음
The Father,2020,영국,드라마,1시간 37분,드라마
Chaos Walking,2020,미국,모험/SF,1시간 48분,모험
조금 부족한 여자,2020,한국,단편/애니메이션,10분,애니메이션
락아웃,2015,한국,범죄/스릴러/단편,14분,스릴러
나의 플래시 속으로 들어온 개,2010,한국,드라마,18분,한국</dd>]
NIGHT AND DAY,2007,한국,드라마,2시간 24분,정보없음
Umbrella,2020,브라질,애니메이션/드라마,8분,정보없음
My Deer Friend,2015,한국,애니메이션/단편,5분,애니메이션
Windup,2020,"미국,중국,스웨덴,덴마크",드라마,10분,애니메이션
국제수사,2020,한국,액션/코미디/드라마/범죄,1시간 45분,액션
I Care a Lot,2020,영국,드라마/스릴러/범죄,1시간 58분,범죄
빛과 철,2020,한국,드라마,1시간 47분,드라마
冲破天际,2018,"미국,중국",애니메이션/단편,8분,정보없음
If Anything Happens I Love You,2020,미국,애니메이션,13분,애니메이션
Pieces of a Woman,2020,"캐나다,헝가리,미국",드라마,2시간 6분,드라마
Ma Rainey's Black Bottom,2020,미국,드라마/음악,1시간 33분,드라마
Malcolm & Marie,2021,미국,로맨스/드라마,1시간 46분,정보없음
Seol-hee,2016,한국,드라마,19분,드라마
승리호,2020,한국,SF/판타지,2시간 16분,SF
A Man Under The Influenza,2007,한국,14분,전체 관람가,한국
애프터눈 클래스,2015,한국,애니메이션,4분,애니메이션
Dummy: No Way Out,2015,한국,애니메이션/단편,6분,애니메이션
아버지의 방,2015,한국,애니메이션/단편,8분,애니메이션
